segment_id,segment_type,point_index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event,from_node,to_node,source_x_m,source_y_m,map_yaw_rad,alignment_zone
START_A,,109,37.2890430249,127.1073997259,21.375609192,1.143977887,1,2,2,NONE,,,-22.133851000,7.349890000,0.142682754625,ZONE_01_START
START_A,,110,37.2890437335,127.1073973333,21.599417298,1.176129928,1,2,2,NONE,,,-22.345751000,7.428771000,0.144940684017,ZONE_01_START
START_A,,111,37.2890445668,127.1073945001,21.864132905,1.214768943,1,2,2,NONE,,,-22.596674000,7.521534000,0.144924152805,ZONE_01_START
START_A,,112,37.2890454002,127.1073916667,22.128868703,1.253406435,1,2,2,NONE,,,-22.847614000,7.614308000,0.144952349126,ZONE_01_START
START_A,,113,37.2890462335,127.1073888334,22.393592213,1.292049757,1,2,2,NONE,,,-23.098546000,7.707071000,0.211476967978,ZONE_01_START
START_A,,114,37.2890469002,127.1073860001,22.649438960,1.346976727,1,2,2,NONE,,,-23.349477000,7.781288000,0.175663006042,ZONE_01_START
START_A,,115,37.2890475668,127.1073835001,22.879362462,1.387786408,1,2,2,NONE,,,-23.570890000,7.855494000,0.175618342636,ZONE_01_START
START_A,,116,37.2890482335,127.1073810001,23.109291229,1.428586430,1,2,2,NONE,,,-23.792303000,7.929711000,0.058584708439,ZONE_01_START
START_A,,117,37.2890492335,127.1073783334,23.369939532,1.443873929,1,2,2,NONE,,,-24.028479000,8.041031000,0.194573238667,ZONE_01_START
START_A,,118,37.2890499002,127.1073756667,23.612831679,1.491739818,1,2,2,NONE,,,-24.264656000,8.115248000,0.194603519980,ZONE_01_START
START_A,,119,37.2890505668,127.1073730001,23.855709781,1.539610580,1,2,2,NONE,,,-24.500823000,8.189454000,0.267597897575,ZONE_01_START
START_A,,120,37.2890510668,127.1073703334,24.089720779,1.603770255,1,2,2,NONE,,,-24.737000000,8.245114000,0.228755332230,ZONE_01_START
START_A,,121,37.2890516157,127.1073678433,24.312603786,1.655664292,1,2,2,NONE,,,-24.957536000,8.306218000,0.124703260124,ZONE_01_START
START_A,,122,37.2890524002,127.1073653334,24.549577434,1.685369821,1,2,2,NONE,,,-25.179825000,8.393548000,0.139827007554,ZONE_01_START
START_A,,123,37.2890531325,127.1073628822,24.779206438,1.717689064,1,2,2,NONE,,,-25.396916000,8.475068000,0.210914354494,ZONE_01_START
START_A,,124,37.2890537335,127.1073603334,25.009429703,1.766979525,1,2,2,NONE,,,-25.622651000,8.541971000,0.124786684981,ZONE_01_START
START_A,,125,37.2890545668,127.1073576667,25.261196857,1.798560809,1,2,2,NONE,,,-25.858827000,8.634734000,0.154246704613,ZONE_01_START
START_A,,126,37.2890552335,127.1073553334,25.478162244,1.832294965,1,2,2,NONE,,,-26.065476000,8.708951000,0.235943562994,ZONE_01_START
START_A,,127,37.2890557335,127.1073530001,25.686246481,1.882322907,1,2,2,NONE,,,-26.272125000,8.764611000,0.144962717493,ZONE_01_START
START_A,,128,37.2890565668,127.1073501667,25.950977015,1.920970057,1,2,2,NONE,,,-26.523065000,8.857374000,0.175618342636,ZONE_01_START
START_A,,129,37.2890572335,127.1073476667,26.180905782,1.961770080,1,2,2,NONE,,,-26.744478000,8.931591000,0.194562339648,ZONE_01_START
START_A,,130,37.2890579002,127.1073450001,26.423790026,2.009631662,1,2,2,NONE,,,-26.980646000,9.005808000,0.175661645214,ZONE_01_START
